210925_223235
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=eplb hs, point=7
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=10
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=10
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=10
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=10
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=11
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=12
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=13
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=14
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=15
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=16
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=17
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=1, cdp=4, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=2, cdp=4, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=1, cdp=4, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=2, cdp=4, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, applist=plb eplb hs, point=22
Experiment finished at 210926_001843
