210710_020609
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, point=7
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=3, cdp=6, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=6, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, point=18
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=6, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=3, cdp=6, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=6, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, point=19
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=6, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=3, cdp=6, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=6, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, point=20
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=6, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=3, cdp=6, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=6, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, point=21
conflict, eplb is not fulfilled at end-point for nc test, pc1, iso=3, cdp=6, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc1, iso=3, cdp=6, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc2, iso=3, cdp=0, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc2, iso=3, cdp=0, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc3, iso=3, cdp=6, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc3, iso=3, cdp=6, point=22
conflict, eplb is not fulfilled at end-point for nc test, pc4, iso=3, cdp=0, point=22
conflict, eplb is not fulfilled at end-point for iperf test, pc4, iso=3, cdp=0, point=22
Experiment finished at 210710_042148
